GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
870801018,20190906,201909,2019,2019.674,BMU,BERMUDA,BMU,,,,,,,,,,,,,,,,,,1,060,060,06,2,6.0,7,3,7,-0.987504760064013,1,Bermuda,BD,BD,32.333333,-64.75,BD,0,,,,,,,1,"Bahamas, The",BF,BF,24.0,-76.0,BF,20190906,https://www.3blmedia.com/News/Bacardi-Pledges-1-Million-Hurricane-Dorian-Relief-Bahamas
870842436,20190906,201909,2019,2019.674,BUS,BUSINESS,,,,,,BUS,,,,,,,,,,,,,1,060,060,06,2,6.0,2,1,2,-0.31055900621118,1,Bermuda,BD,BD,32.333333,-64.75,BD,0,,,,,,,1,"Bahamas, The",BF,BF,24.0,-76.0,BF,20190906,https://finance.yahoo.com/news/bacardi-pledges-1-million-hurricane-200500002.html
870983507,20190906,201909,2019,2019.674,BMUGOV,BERMUDA,BMU,,,,,GOV,,,,,,,,,,,,,0,033,033,03,1,5.2,6,1,6,2.61519302615193,1,Bermuda,BD,BD,32.333333,-64.75,BD,0,,,,,,,1,"Bahamas, The",BF,BF,24.0,-76.0,BF,20190906,http://www.royalgazette.com/news/article/20190906/every-household-should-donate-to-bahamas
870812212,20190906,201909,2019,2019.674,BHS,BAHAMA,BHS,,,,,,,,,,,,,,,,,,1,073,073,07,2,7.4,2,1,2,-1.82926829268293,1,Belize,BH,BH,17.25,-88.75,BH,0,,,,,,,1,"Bahamas, The",BF,BF,24.0,-76.0,BF,20190906,https://www.breakingbelizenews.com/2019/09/05/death-toll-in-the-bahamas-jumps-from-5-to-23-disaster-management-efforts-continue/
870812222,20190906,201909,2019,2019.674,BLZ,BELIZE,BLZ,,,,,,,,,,,,,,,,,,0,060,060,06,2,6.0,10,1,10,-1.82926829268293,1,Belize,BH,BH,17.25,-88.75,BH,0,,,,,,,1,"Bahamas, The",BF,BF,24.0,-76.0,BF,20190906,https://www.breakingbelizenews.com/2019/09/05/death-toll-in-the-bahamas-jumps-from-5-to-23-disaster-management-efforts-continue/
870916758,20190906,201909,2019,2019.674,IGOUNO,UNITED NATIONS,,UNO,,,,IGO,,,,,,,,,,,,,1,020,020,02,1,3.0,2,1,2,-8.39694656488554,2,"California, United States",US,USCA,36.17,-119.746,CA,0,,,,,,,1,"Bahamas, The",BF,BF,24.0,-76.0,BF,20190906,https://www.channelstv.com/2019/09/06/30-killed-as-dorian-storms-bahamas/
870794083,20190906,201909,2019,2019.674,CHN,CHINA,CHN,,,,,,,,,,,,,,,,,,0,071,071,07,2,7.4,26,7,26,1.89805424183479,1,China,CH,CH,35.0,105.0,CH,0,,,,,,,1,"Bahamas, The",BF,BF,24.0,-76.0,BF,20190906,https://www.msn.com/en-us/news/politics/hurricane-dorian-marco-rubio-rick-scott-want-help-for-the-bahamas/ar-AAGRMCV
870928443,20190906,201909,2019,2019.674,CHN,CHINA,CHN,,,,,,,,,,,,,,,,,,0,010,010,01,1,0.0,2,1,2,-5.57971014492754,1,China,CH,CH,35.0,105.0,CH,0,,,,,,,1,"Bahamas, The",BF,BF,24.0,-76.0,BF,20190906,https://www.politico.com/story/2019/09/06/climate-change-hurricane-dorian-1709636
870823437,20190906,201909,2019,2019.674,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,120,120,12,3,-4.0,2,1,2,-6.85805422647528,2,"Georgia, United States",US,USGA,32.9866,-83.6487,GA,0,,,,,,,1,"Bahamas, The",BF,BF,24.0,-76.0,BF,20190906,https://www.yahoo.com/news/carolinas-hunker-down-dorian-creeps-012143838.html
871027477,20190906,201909,2019,2019.674,HIN,HINDU,,,,HIN,,,,,,,,,,,,,,,0,017,017,01,1,0.0,2,1,2,0.39267015706806,2,"Hawaii, United States",US,USHI,21.1098,-157.531,HI,0,,,,,,,1,"Bahamas, The",BF,BF,24.0,-76.0,BF,20190906,https://religionnews.com/2019/09/06/photos-of-the-week-90/
