GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
832545446,20190321,201903,2019,2019.2219,TZAMIL,TANZANIA,TZA,,,,,MIL,,,,,,,,,,,,,0,073,073,07,2,7.4,2,1,2,-2.08643815201193,1,United Arab Emirates,AE,AE,24.0,54.0,AE,0,,,,,,,4,"Beira, Sofala, Mozambique",MZ,MZ05,-19.8436,34.8389,-307278,20190321,https://www.herald.co.zw/women-babies-trapped-in-trees-after-deadly-cyclone/
831649782,20190318,201903,2019,2019.2137,AGR,FARMER,,,,,,AGR,,,,,,,,,,,,,1,112,112,11,3,-2.0,15,15,15,-8.45815721111614,1,United Arab Emirates,AE,AE,24.0,54.0,AE,0,,,,,,,4,"Beira, Sofala, Mozambique",MZ,MZ05,-19.8436,34.8389,-307278,20190318,https://www.aninews.in/news/world/others/cyclone-idai-toll-rises-to-150-in-malawi20190318202539/
832717086,20190322,201903,2019,2019.2247,TZAMIL,TANZANIA,TZA,,,,,MIL,,,,,,,,,,,,,0,073,073,07,2,7.4,2,1,2,-3.4037558685446,1,United Arab Emirates,AE,AE,24.0,54.0,AE,0,,,,,,,4,"Beira, Sofala, Mozambique",MZ,MZ05,-19.8436,34.8389,-307278,20190322,https://www.namibian.com.na/76834/read/Women-babies-trapped-in-trees-after-deadly-Mozambique-storm
834424485,20190329,201903,2019,2019.2438,MED,WEBSITE,,,,,,MED,,,,,,,,,,,,,0,023,023,02,1,3.4,2,1,2,-0.44150110375276,2,"Arizona, United States",US,USAZ,33.7712,-111.388,AZ,0,,,,,,,1,Mozambique,MZ,MZ,-18.25,35.0,MZ,20190329,http://www.digitaljournal.com/pr/4230887
835421609,20190402,201904,2019,2019.2521,GOV,PRESIDENT,,,,,,GOV,,,,,,,,,,,,,1,020,020,02,1,3.0,2,1,2,0.0,1,Brazil,BR,BR,-10.0,-55.0,BR,0,,,,,,,4,"Nacala, Nampula, Mozambique",MZ,MZ06,-14.5428,40.6728,-324672,20190402,http://www.portugalglobal.pt/PT/PortugalNews/Paginas/NewDetail.aspx?newId=%7BFE2465F1-19B2-4902-822C-E8FD8EF7D024%7D
830997955,20190315,201903,2019,2019.2055,MOZ,MOZAMBIQUE,MOZ,,,,,,,,,,,,,,,,,,0,073,073,07,2,7.4,24,11,24,-6.71385882391947,1,China,CH,CH,35.0,105.0,CH,0,,,,,,,4,"Bangula, Gaza, Mozambique",MZ,MZ02,-23.8775,31.945,371112,20190315,http://www.digitaljournal.com/news/world/cannot-go-back-malawi-floods-leave-thousands-homeless/article/545360
831226926,20190316,201903,2019,2019.2082,MOZ,MOZAMBIQUE,MOZ,,,,,,,,,,,,,,,,,,0,073,073,07,2,7.4,4,2,4,-6.82272226715913,1,China,CH,CH,35.0,105.0,CH,0,,,,,,,4,"Bangula, Gaza, Mozambique",MZ,MZ02,-23.8775,31.945,371112,20190316,https://www.newvision.co.ug/new_vision/news/1496275/-malawi-floods-leave-thousands-homeless
834949441,20190331,201903,2019,2019.2493,IGOUNOHLHWHO,WORLD HEALTH ORGANIZATION,,UNO,,,,IGO,HLH,,,,,,,,,,,,0,010,010,01,1,0.0,6,5,6,-7.39299610894941,1,China,CH,CH,35.0,105.0,CH,0,,,,,,,4,"Beira, Sofala, Mozambique",MZ,MZ05,-19.8436,34.8389,-307278,20190331,https://www.sfgate.com/news/medical/article/International-aid-helps-Mozambique-fight-cholera-13730081.php
830929617,20190315,201903,2019,2019.2055,USA,COLORADO,USA,,,,,,,,,,,,,,,,,,0,043,043,04,1,2.8,6,1,6,1.90796857463524,2,"Colorado, United States",US,USCO,39.0646,-105.327,CO,0,,,,,,,1,Mozambique,MZ,MZ,-18.25,35.0,MZ,20190315,https://www.thedailytimes.com/community/global-awareness-local-studio-joins-effort-by-free-the-girls/article_5da1936c-01ea-5a14-a9d7-ddecb77b4c69.html
831756289,20190318,201903,2019,2019.2137,NGOHLHIRC,RED CROSS,,IRC,,,,NGO,HLH,,,,,,,,,,,,1,010,010,01,1,0.0,3,1,3,-10.9619686800894,1,Germany,GM,GM,51.5,10.5,GM,0,,,,,,,4,"Beira, Sofala, Mozambique",MZ,MZ05,-19.8436,34.8389,-307278,20190318,https://www.dw.com/en/cyclone-idai-death-toll-could-reach-1000/a-47969796
831872025,20190319,201903,2019,2019.2164,GOV,MINIST OF FOREIGN AFFAIRS,,,,,,GOV,,,,,,,,,,,,,1,010,010,01,1,0.0,16,2,16,-10.7978608303193,1,Indonesia,ID,ID,-5.0,120.0,ID,0,,,,,,,1,Mozambique,MZ,MZ,-18.25,35.0,MZ,20190319,https://dailynewsegypt.com/2019/03/18/egypt-offers-condolences-for-victims-of-indonesia-east-africas-flash-floods/
831872027,20190319,201903,2019,2019.2164,GOV,MINIST OF FOREIGN AFFAIRS,,,,,,GOV,,,,,,,,,,,,,1,018,018,01,1,3.4,20,2,20,-10.7978608303193,1,Indonesia,ID,ID,-5.0,120.0,ID,0,,,,,,,1,Mozambique,MZ,MZ,-18.25,35.0,MZ,20190319,https://dailynewsegypt.com/2019/03/18/egypt-offers-condolences-for-victims-of-indonesia-east-africas-flash-floods/
831673840,20190318,201903,2019,2019.2137,GOV,MINIST OF FOREIGN AFFAIRS,,,,,,GOV,,,,,,,,,,,,,1,010,010,01,1,0.0,8,1,8,-10.5691056910569,1,Indonesia,ID,ID,-5.0,120.0,ID,0,,,,,,,1,Mozambique,MZ,MZ,-18.25,35.0,MZ,20190318,https://www.dailynewsegypt.com/2019/03/18/egypt-offers-condolences-for-victims-of-indonesia-east-africas-flash-floods/
831673849,20190318,201903,2019,2019.2137,GOV,MINIST OF FOREIGN AFFAIRS,,,,,,GOV,,,,,,,,,,,,,1,018,018,01,1,3.4,10,1,10,-10.5691056910569,1,Indonesia,ID,ID,-5.0,120.0,ID,0,,,,,,,1,Mozambique,MZ,MZ,-18.25,35.0,MZ,20190318,https://www.dailynewsegypt.com/2019/03/18/egypt-offers-condolences-for-victims-of-indonesia-east-africas-flash-floods/
832370562,20190321,201903,2019,2019.2219,MOZGOV,MOZAMBIQUE,MOZ,,,,,GOV,,,,,,,,,,,,,0,017,017,01,1,0.0,20,20,20,-7.68914656892072,1,India,IN,IN,20.0,77.0,IN,0,,,,,,,4,"Beira, Sofala, Mozambique",MZ,MZ05,-19.8436,34.8389,-307278,20190321,https://www.aninews.in/news/world/others/cyclone-idai-one-of-africas-worst-disasters-un20190321054252/
831549765,20190318,201903,2019,2019.2137,GOV,EXTERNAL AFFAIRS MINIST,,,,,,GOV,,,,,,,,,,,,,1,073,073,07,2,7.4,13,2,13,-0.966697502312675,1,India,IN,IN,20.0,77.0,IN,0,,,,,,,4,"Beira, Sofala, Mozambique",MZ,MZ05,-19.8436,34.8389,-307278,20190318,http://www.newsonair.com/News?title=India-to-provide-aid-to-people-affected-by-cyclone-%E2%80%98IDAI%E2%80%99-in-Mozambique&id=361142
831576838,20190318,201903,2019,2019.2137,MIL,NAVAL SHIP,,,,,,MIL,,,,,,,,,,,,,1,073,073,07,2,7.4,16,2,16,-1.63934426229508,1,India,IN,IN,20.0,77.0,IN,0,,,,,,,4,"Beira, Sofala, Mozambique",MZ,MZ05,-19.8436,34.8389,-307278,20190318,https://www.einnews.com/pr_news/479556679/india-to-provide-humanitarian-assistance-and-disaster-relief-hadr-support-to-mozambique
834528183,20190329,201903,2019,2019.2438,IGOUNO,UNITED NATIONS,,UNO,,,,IGO,,,,,,,,,,,,,1,020,020,02,1,3.0,5,1,5,-0.60240963855421,1,Kenya,KE,KE,1.0,38.0,KE,0,,,,,,,1,Mozambique,MZ,MZ,-18.25,35.0,MZ,20190329,https://allafrica.com/stories/201903290564.html
832158069,20190320,201903,2019,2019.2192,MOZ,MOZAMBIQUE,MOZ,,,,,,,,,,,,,,,,,,1,036,036,03,1,4.0,5,3,5,-4.28652723084927,1,Madagascar,MA,MA,-20.0,47.0,MA,0,,,,,,,4,"Beira, Sofala, Mozambique",MZ,MZ05,-19.8436,34.8389,-307278,20190320,https://www.nationalgeographic.com.au/nature/why-cyclone-idai-was-so-destructive.aspx
834143799,20190328,201903,2019,2019.2411,CAN,CANADA,CAN,,,,,,,,,,,,,,,,,,0,120,120,12,3,-4.0,1,1,1,-1.03529411764706,1,Madagascar,MA,MA,-20.0,47.0,MA,0,,,,,,,1,Mozambique,MZ,MZ,-18.25,35.0,MZ,20190328,http://www.pentictonherald.ca/opinion/article_e5186620-50ea-11e9-b5ff-e7b87e9bf7f5.html
